,PLAYER_ID,ALL_FGA,ALL_ALL_AVG_DISTANCE,ALL_3PT_AVG_DISTANCE,ALL_2PT_AVG_DISTANCE,MADE_FGA,MADE_ALL_AVG_DISTANCE,MADE_3PT_AVG_DISTANCE,MADE_2PT_AVG_DISTANCE,MISS_FGA,MISS_ALL_AVG_DISTANCE,MISS_3PT_AVG_DISTANCE,MISS_2PT_AVG_DISTANCE,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
273,1630695,54,17.5,23.864864864864863,3.6470588235294117,25.0,15.64,24.266666666666666,2.7,29.0,19.103448275862068,23.59090909090909,5.0,Micah Potter,1610612754,IND
187,1630163,556,17.496402877697843,26.380327868852458,6.701195219123506,230.0,15.621739130434783,25.95575221238938,5.641025641025641,326.0,18.819018404907975,26.630208333333332,7.626865671641791,LaMelo Ball,1610612766,CHA
231,1630538,182,17.48901098901099,25.17117117117117,5.47887323943662,83.0,14.313253012048193,24.925,4.441860465116279,99.0,20.151515151515152,25.309859154929576,7.071428571428571,Bones Hyland,1610612750,MIN
408,1642266,181,17.45303867403315,24.666666666666668,3.262295081967213,78.0,14.794871794871796,24.113636363636363,2.735294117647059,103.0,19.466019417475728,24.986842105263158,3.925925925925926,Ja'Kobe Walter,1610612761,TOR
269,1630643,294,17.3843537414966,25.83068783068783,2.1809523809523808,138.0,12.44927536231884,26.1,1.9487179487179487,156.0,21.75,25.705426356589147,2.8518518518518516,Jay Huff,1610612754,IND
357,1641724,117,17.376068376068375,24.931506849315067,4.840909090909091,43.0,15.813953488372093,24.708333333333332,4.578947368421052,74.0,18.283783783783782,25.040816326530614,5.04,Jett Howard,1610612753,ORL
241,1630557,150,17.326666666666668,25.6,3.036363636363636,71.0,14.112676056338028,25.305555555555557,2.6,79.0,20.21518987341772,25.779661016949152,3.8,Corey Kispert,1610612764,WAS
205,1630193,550,17.30181818181818,25.70205479452055,7.794573643410852,233.0,15.098712446351932,25.702970297029704,6.984848484848484,317.0,18.9211356466877,25.701570680628272,8.642857142857142,Immanuel Quickley,1610612761,TOR
258,1630592,118,17.296610169491526,24.746666666666666,4.3023255813953485,46.0,16.108695652173914,24.555555555555557,4.105263157894737,72.0,18.055555555555557,24.854166666666668,4.458333333333333,Jalen Wilson,1610612751,BKN
18,202331,299,17.25752508361204,25.164383561643834,9.712418300653594,125.0,15.856,24.98148148148148,8.915492957746478,174.0,18.264367816091955,25.27173913043478,10.402439024390244,Paul George,1610612755,PHI
196,1630174,272,17.24264705882353,25.03184713375796,6.608695652173913,98.0,16.336734693877553,24.736842105263158,4.658536585365853,174.0,17.75287356321839,25.2,7.6891891891891895,Aaron Nesmith,1610612754,IND
315,1631172,64,17.203125,25.147058823529413,8.2,28.0,17.678571428571427,25.466666666666665,8.692307692307692,36.0,16.833333333333332,24.894736842105264,7.823529411764706,Ousmane Dieng,1610612760,OKC
146,1629029,743,17.197846567967698,26.576923076923077,9.37037037037037,345.0,14.405797101449275,26.657894736842106,8.35930735930736,398.0,19.618090452261306,26.535714285714285,10.71264367816092,Luka Dončić,1610612747,LAL
263,1630611,92,17.195652173913043,25.120689655172413,3.676470588235294,43.0,13.767441860465116,24.285714285714285,3.727272727272727,49.0,20.20408163265306,25.594594594594593,3.5833333333333335,Gui Santos,1610612744,GSW
331,1631246,206,17.174757281553397,24.785123966942148,6.341176470588235,72.0,15.097222222222221,24.38888888888889,5.805555555555555,134.0,18.291044776119403,24.95294117647059,6.73469387755102,Vince Williams Jr.,1610612763,MEM
