PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner 3_FGM,Corner 3_FGA,Corner 3_FG_PCT,Total Shots_FGM,Total from 3_FGM,Pct RA_FGM,Pct 3_FGM,Pct Moreyball_FGM,Total Shots_FGA,Total from 3_FGA,Pct RA_FGA,Pct 3_FGA,Pct Moreyball_FGA
1627759,Jaylen Brown,1610612738,BOS,29.0,Jaylen,84.0,117.0,0.718,64.0,138.0,0.464,76.0,153.0,0.497,4.0,9.0,0.444,2.0,4.0,0.5,48,135,0.356,0.0,0.0,0.0,6.0,13.0,0.462,278.0,54.0,0.302,0.194,0.496,556.0,148.0,0.21,0.266,0.476
1642948,Ryan Nembhard,1610612742,DAL,22.0,Ryan,8.0,11.0,0.727,13.0,27.0,0.481,18.0,31.0,0.581,1.0,3.0,0.333,1.0,1.0,1.0,16,35,0.457,0.0,0.0,0.0,2.0,4.0,0.5,57.0,18.0,0.14,0.316,0.456,108.0,39.0,0.102,0.361,0.463
1629234,Drew Eubanks,1610612758,SAC,28.0,Drew,30.0,40.0,0.75,23.0,41.0,0.561,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,56.0,1.0,0.536,0.018,0.554,91.0,2.0,0.44,0.022,0.462
1631114,Jalen Williams,1610612760,OKC,24.0,Jalen,21.0,35.0,0.6,22.0,50.0,0.44,6.0,20.0,0.3,1.0,2.0,0.5,0.0,1.0,0.0,9,22,0.409,0.0,0.0,0.0,1.0,3.0,0.333,59.0,10.0,0.356,0.169,0.525,130.0,25.0,0.269,0.192,0.461
1626164,Devin Booker,1610612756,PHX,29.0,Devin,47.0,62.0,0.758,62.0,133.0,0.466,56.0,118.0,0.475,0.0,3.0,0.0,4.0,9.0,0.444,39,129,0.302,0.0,1.0,0.0,4.0,12.0,0.333,208.0,43.0,0.226,0.207,0.433,455.0,142.0,0.136,0.312,0.448
1627742,Brandon Ingram,1610612761,TOR,28.0,Brandon,53.0,81.0,0.654,52.0,113.0,0.46,85.0,175.0,0.486,9.0,24.0,0.375,5.0,11.0,0.455,40,111,0.36,0.0,0.0,0.0,14.0,35.0,0.4,244.0,54.0,0.217,0.221,0.438,515.0,146.0,0.157,0.283,0.44
202695,Kawhi Leonard,1610612746,LAC,34.0,Kawhi,26.0,35.0,0.743,61.0,118.0,0.517,35.0,72.0,0.486,4.0,8.0,0.5,1.0,8.0,0.125,35,98,0.357,0.0,0.0,0.0,5.0,16.0,0.313,162.0,40.0,0.16,0.247,0.407,339.0,114.0,0.103,0.336,0.439
1642875,Maxime Raynaud,1610612758,SAC,22.0,Maxime,34.0,50.0,0.68,42.0,88.0,0.477,3.0,7.0,0.429,1.0,3.0,0.333,0.0,2.0,0.0,5,13,0.385,0.0,0.0,0.0,1.0,5.0,0.2,85.0,6.0,0.4,0.071,0.471,163.0,18.0,0.307,0.11,0.417
202685,Jonas Valančiūnas,1610612743,DEN,33.0,Jonas,36.0,56.0,0.643,37.0,62.0,0.597,20.0,33.0,0.606,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0.273,0.0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,0.375,0.031,0.406,162.0,11.0,0.346,0.068,0.414
201142,Kevin Durant,1610612745,HOU,37.0,Kevin,33.0,45.0,0.733,65.0,123.0,0.528,60.0,126.0,0.476,1.0,3.0,0.333,3.0,5.0,0.6,46,107,0.43,0.0,0.0,0.0,4.0,8.0,0.5,208.0,50.0,0.159,0.24,0.399,409.0,115.0,0.11,0.281,0.391
204456,T.J. McConnell,1610612754,IND,33.0,T.J.,16.0,25.0,0.64,26.0,55.0,0.473,34.0,51.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,4,17,0.235,0.0,0.0,0.0,2.0,3.0,0.667,82.0,6.0,0.195,0.073,0.268,151.0,20.0,0.166,0.132,0.298
201942,DeMar DeRozan,1610612758,SAC,36.0,DeMar,34.0,50.0,0.68,53.0,94.0,0.564,81.0,175.0,0.463,11.0,20.0,0.55,4.0,12.0,0.333,10,31,0.323,0.0,0.0,0.0,15.0,32.0,0.469,193.0,25.0,0.176,0.13,0.306,382.0,63.0,0.131,0.165,0.296
